Category,Item,Qty,Specification,Notes
Motion,Servo,1,DS3218 20kg 180-degree 6V,Use metal 25T horn; verify stall current on first article
Switch,Limit microswitch,2,KW12-3 roller lever with NC contact,Wire COM and NC for fail-safe operation
Optical,Light guide disc,1,User-selected diameter x 3mm clear acrylic,Default RedCat preset is 82mm
Optical,Opal diffuser disc,1,Same diameter x 2-3mm neutral white,Avoid coloured acrylic
Optical,Diffusion film,1,Cut to selected panel diameter,Two layers if uniformity test requires it
Lighting,LED strip,1,12V neutral white 4000-5000K,Maximum 1.0A on fused LED branch
Liner,Clamp liner,1,0.8mm EVA or cork,Customize thickness and print fit gauge first
Safety,Tether cord,1,3-4mm braided cord,Join clamp eye to moving-tray eye
Seal,Lid gasket,1,2mm closed-cell foam cord,Optional for dew resistance; do not make enclosure airtight
Fastener,M3 heat-set insert,8,M3 x 5mm brass,Tray and clamp platform
Fastener,M3 screw,12,M3 assorted 8-16mm,PCB servo plate diffuser ring and switches
Fastener,M4 screw and nut,1,M4 x 35mm,Clamp compression ears
Cable,JST-XH 3-pin servo pigtail,1,2.50mm keyed shell and crimp contacts,Do not plug a standard 2.54mm servo lead directly
Cable,JST-XH 2-pin pigtail,4,300mm minimum,LED two NC limits and manual switch
Cable,USB-C data cable,1,USB-C to imaging computer,Required for ASCOM; USB powers logic only
Power,Main supply cable,1,12V centre-positive DC5521 rated 2A or higher,Board continuous input rating is 2A
Control,ASIAIR cable,1,DC5521 male-male centre positive,Connects to an adjustable ASIAIR output
